"Observation station","Year","Month","Day","Time [Local time]","Average temperature [°C]","Average relative humidity [%]","Wind speed [m/s]","Maximum wind speed [m/s]","Average wind direction [°]","Maximum gust speed [m/s]","Average air pressure [hPa]"
"Helsinki Kumpula","2026","1","29","00:00","-9","81","4.9","5.3","49","8.8","1018.3"
"Helsinki Kumpula","2026","1","29","01:00","-9.3","82","4.6","5.8","57","8.6","1018.6"
"Helsinki Kumpula","2026","1","29","02:00","-10.4","84","4.4","5.8","55","7.6","1018.8"
"Helsinki Kumpula","2026","1","29","03:00","-11.1","85","4.9","5.4","55","9.5","1019.1"
"Helsinki Kumpula","2026","1","29","04:00","-11.3","85","4.8","5.4","47","8.5","1019.4"
"Helsinki Kumpula","2026","1","29","05:00","-11.8","85","4","4.7","51","7.5","1019.6"
"Helsinki Kumpula","2026","1","29","06:00","-12.4","87","4.7","5.7","48","8","1019.9"
"Helsinki Kumpula","2026","1","29","07:00","-13","86","3.7","5","44","7","1020.2"
"Helsinki Kumpula","2026","1","29","08:00","-13.5","87","3","3.8","44","5.2","1020.4"
"Helsinki Kumpula","2026","1","29","09:00","-13.6","86","2.9","3.3","43","4.7","1021"
"Helsinki Kumpula","2026","1","29","10:00","-13.7","86","3.5","3.9","45","5.6","1021.5"
"Helsinki Kumpula","2026","1","29","11:00","-13.4","86","3.3","3.9","43","5.7","1022"
"Helsinki Kumpula","2026","1","29","12:00","-12.5","85","2.8","3.4","42","5.1","1022.2"
"Helsinki Kumpula","2026","1","29","13:00","-11.5","83","2.8","3.7","53","5.1","1022.4"
"Helsinki Kumpula","2026","1","29","14:00","-10.9","82","2.3","2.8","57","4","1022.5"
"Helsinki Kumpula","2026","1","29","15:00","-10.4","81","2.3","2.7","26","4.5","1022.5"
"Helsinki Kumpula","2026","1","29","16:00","-10.5","82","2.5","2.9","14","4","1022.7"
"Helsinki Kumpula","2026","1","29","17:00","-11.3","86","2.4","2.8","20","4.4","1023.1"
"Helsinki Kumpula","2026","1","29","18:00","-12.3","88","2.4","3.4","27","5.6","1023.4"
"Helsinki Kumpula","2026","1","29","19:00","-12.5","87","3","3.4","27","5.6","1023.6"
"Helsinki Kumpula","2026","1","29","20:00","-13.4","87","2.4","3","29","5.5","1023.8"
"Helsinki Kumpula","2026","1","29","21:00","-14.3","88","2.2","2.5","27","3.9","1023.9"
"Helsinki Kumpula","2026","1","29","22:00","-14.3","87","3","3.5","31","4.7","1024.1"
"Helsinki Kumpula","2026","1","29","23:00","-15.7","88","2.4","3.1","26","4.1","1024.6"
"Helsinki Kumpula","2026","1","30","00:00","-15.6","87","3","3.4","27","4.6","1025"
"Helsinki Kumpula","2026","1","30","01:00","-16.7","86","2.4","3.4","27","4.5","1025.4"
"Helsinki Kumpula","2026","1","30","02:00","-17.1","86","2.7","3.2","36","4.3","1025.4"
"Helsinki Kumpula","2026","1","30","03:00","-17.5","87","2.4","2.9","35","3.7","1025.7"
"Helsinki Kumpula","2026","1","30","04:00","-17.4","86","2.7","3.3","25","4","1025.9"
"Helsinki Kumpula","2026","1","30","05:00","-18.4","86","1.9","2.5","28","3.6","1026"
"Helsinki Kumpula","2026","1","30","06:00","-18.5","86","2.2","2.5","30","3.3","1026.1"
"Helsinki Kumpula","2026","1","30","07:00","-18.7","86","1.9","2.5","21","3.5","1026.1"
